"subj_code","trial_index","task","stimulus","rules_scen","rules_rule","rules_question","rules_textviolation","rules_purposeviolation","rules_violationtype","rules_yeskey","response_input","rules_response_verbal","rules_response_num","rt","stroopflanker_correct_resp","stroop_color","stroop_text","stroopflanker_correct","congruent","flanker_direction"
"ZyEayYnQuirQ",55,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A scientist working at the laboratory starts a new experiment.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A scientist working at the laboratory starts a new experiment.",0,0,"off","e","i","no",0,1201,"","","","","congruent",""
"ZyEayYnQuirQ",57,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A retired scientist visits the lab to offer advice to new hirees.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A retired scientist visits the lab to offer advice to new hirees.",1,0,"over","e","i","no",0,1610,"","","","","incongruent",""
"ZyEayYnQuirQ",60,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,999,"y","yellow","green","true","incongruent",""
"ZyEayYnQuirQ",62,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,532,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",64,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,839,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",66,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,1071,"r","red","yellow","true","incongruent",""
"ZyEayYnQuirQ",68,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,985,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",70,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,591,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",72,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,682,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",74,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,641,"y","yellow","red","false","incongruent",""
"ZyEayYnQuirQ",76,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,632,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",78,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,577,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",80,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,629,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",82,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,663,"b","blue","green","true","incongruent",""
"ZyEayYnQuirQ",84,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,831,"b","blue","red","false","incongruent",""
"ZyEayYnQuirQ",86,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,765,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",88,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,893,"b","blue","yellow","true","incongruent",""
"ZyEayYnQuirQ",90,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,474,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",92,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,623,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",94,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,772,"g","green","blue","true","incongruent",""
"ZyEayYnQuirQ",96,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,619,"y","yellow","blue","true","incongruent",""
"ZyEayYnQuirQ",98,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,626,"r","red","blue","true","incongruent",""
"ZyEayYnQuirQ",100,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,608,"r","red","green","true","incongruent",""
"ZyEayYnQuirQ",102,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,533,"g","green","yellow","true","incongruent",""
"ZyEayYnQuirQ",104,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,575,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",106,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,624,"g","green","red","true","incongruent",""
"ZyEayYnQuirQ",109,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,661,"g","green","blue","true","incongruent",""
"ZyEayYnQuirQ",111,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,682,"y","yellow","red","true","incongruent",""
"ZyEayYnQuirQ",113,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,713,"g","green","red","true","incongruent",""
"ZyEayYnQuirQ",115,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,719,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",117,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,496,"r","red","blue","true","incongruent",""
"ZyEayYnQuirQ",119,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,696,"y","yellow","blue","false","incongruent",""
"ZyEayYnQuirQ",121,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,641,"r","red","green","true","incongruent",""
"ZyEayYnQuirQ",123,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,1024,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",125,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,712,"r","red","yellow","true","incongruent",""
"ZyEayYnQuirQ",127,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,469,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",129,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,528,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",131,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,536,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",133,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,516,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",135,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,984,"b","blue","red","true","incongruent",""
"ZyEayYnQuirQ",137,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,552,"b","blue","green","true","incongruent",""
"ZyEayYnQuirQ",139,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,525,"g","green","yellow","true","incongruent",""
"ZyEayYnQuirQ",141,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,794,"b","blue","yellow","true","incongruent",""
"ZyEayYnQuirQ",143,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,669,"y","yellow","green","true","incongruent",""
"ZyEayYnQuirQ",145,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,800,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",147,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,664,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",149,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,400,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",151,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,823,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",153,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,741,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",155,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,614,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",159,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and keeps the carpet clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest walks around barefoot and keeps the carpet clean.",0,0,"off","e","i","no",0,2957,"","","","","congruent",""
"ZyEayYnQuirQ",161,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears muddy sneakers and dirties the carpets.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears muddy sneakers and dirties the carpets.",1,1,"core","e","e","yes",1,1221,"","","","","congruent",""
"ZyEayYnQuirQ",163,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears his new sneakers and the floor stays clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears his new sneakers and the floor stays clean.",1,0,"over","e","e","yes",1,2107,"","","","","incongruent",""
"ZyEayYnQuirQ",165,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears clean stilettos and keeps the carpet clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears clean stilettos and keeps the carpet clean.",1,0,"over","e","e","yes",1,1745,"","","","","incongruent",""
"ZyEayYnQuirQ",167,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and dirties the carpets.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest walks around barefoot and dirties the carpet.",0,1,"under","e","i","no",0,2742,"","","","","incongruent",""
"ZyEayYnQuirQ",169,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and the floor stays clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest walks around barefoot and the floor stays clean.",0,0,"off","e","i","no",0,2642,"","","","","congruent",""
"ZyEayYnQuirQ",171,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A barefoot guest has a bleeding toe and stains the carpets.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A barefoot guest has a bleeding toe and stains the carpets.",0,1,"under","e","i","no",0,1444,"","","","","incongruent",""
"ZyEayYnQuirQ",173,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with muddy socks and dirties the carpet.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest walks in with muddy socks and dirties the carpet.",0,1,"under","e","e","yes",1,3279,"","","","","incongruent",""
"ZyEayYnQuirQ",175,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears brand new shoes and keeps the floor clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears brand new shoes and keeps the floor clean.",1,0,"over","e","e","yes",1,1783,"","","","","incongruent",""
"ZyEayYnQuirQ",177,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears stilettos and the carpets get pretty dirty.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears stilettos and the carpets get pretty dirty.",1,1,"core","e","e","yes",1,717,"","","","","congruent",""
"ZyEayYnQuirQ",179,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears wet deck shoes and dirties the floors.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest wears wet deck shoes and dirties the floors.",1,1,"core","e","e","yes",1,855,"","","","","congruent",""
"ZyEayYnQuirQ",181,"rules","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around in socks and keeps the floor clean.</b><br>","shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","A guest walks around in socks and keeps the floor clean.",0,0,"off","e","i","no",0,939,"","","","","congruent",""
"ZyEayYnQuirQ",184,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,616,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",186,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,885,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",188,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,730,"y","yellow","red","true","incongruent",""
"ZyEayYnQuirQ",190,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,593,"g","green","yellow","true","incongruent",""
"ZyEayYnQuirQ",192,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,366,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",194,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,402,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",196,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,528,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",198,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,459,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",200,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,573,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",202,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,624,"g","green","green","true","congruent",""
"ZyEayYnQuirQ",204,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,511,"g","green","blue","true","incongruent",""
"ZyEayYnQuirQ",206,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,522,"r","red","yellow","true","incongruent",""
"ZyEayYnQuirQ",208,"stroop","
                    <p style=""color:green; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,489,"g","green","red","true","incongruent",""
"ZyEayYnQuirQ",210,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"g",NA,NA,443,"r","red","blue","false","incongruent",""
"ZyEayYnQuirQ",212,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,507,"r","red","green","true","incongruent",""
"ZyEayYnQuirQ",214,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,644,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",216,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,774,"b","blue","green","true","incongruent",""
"ZyEayYnQuirQ",218,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,529,"b","blue","blue","true","congruent",""
"ZyEayYnQuirQ",220,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    green</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,383,"y","yellow","green","true","incongruent",""
"ZyEayYnQuirQ",222,"stroop","
                    <p style=""color:red; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"r",NA,NA,351,"r","red","red","true","congruent",""
"ZyEayYnQuirQ",224,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    red</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,773,"b","blue","red","true","incongruent",""
"ZyEayYnQuirQ",226,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    blue</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,520,"y","yellow","blue","true","incongruent",""
"ZyEayYnQuirQ",228,"stroop","
                    <p style=""color:yellow; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,505,"y","yellow","yellow","true","congruent",""
"ZyEayYnQuirQ",230,"stroop","
                    <p style=""color:blue; font-size:30px;""><b>
                    yellow</b></p>",NA,NA,NA,NA,NA,NA,NA,"b",NA,NA,630,"b","blue","yellow","true","incongruent",""
"ZyEayYnQuirQ",234,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A red party limo drives through the park at the DJ's request.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A red party limo drives through the park at the DJ's request.",1,1,"core","e","e","yes",1,3719,"","","","","congruent",""
"ZyEayYnQuirQ",236,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person speeds through the park on their electric scooter.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A person speeds through the park on their electric scooter.",0,1,"under","e","i","no",0,1643,"","","","","incongruent",""
"ZyEayYnQuirQ",238,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A man drives a tow-truck slowly into the park to remove a car.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A man drives a tow-truck slowly into the park to remove a car.",1,0,"over","e","e","yes",1,952,"","","","","incongruent",""
"ZyEayYnQuirQ",240,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A taxi driver takes a shortcut through the park to save time.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A taxi driver takes a shortcut through the park to save time.",1,1,"core","e","e","yes",1,2693,"","","","","congruent",""
"ZyEayYnQuirQ",242,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A motorcycle courier takes a shortcut through the park.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A motorcycle courier takes a shortcut through the park.",0,1,"under","e","e","yes",1,1317,"","","","","incongruent",""
"ZyEayYnQuirQ",244,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A couple walk their new baby through the park in a stroller.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A couple walk their new baby through the park in a stroller.",0,0,"off","e","i","no",0,1079,"","","","","congruent",""
"ZyEayYnQuirQ",246,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper parks a truck in the park to remove a tree.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A landscaper parks a truck in the park to remove a tree.",1,0,"over","e","i","no",0,1931,"","","","","incongruent",""
"ZyEayYnQuirQ",248,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person jogs through the park to get some daily exercise.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A person jogs through the park to get some daily exercise.",0,0,"off","e","i","no",0,1062,"","","","","congruent",""
"ZyEayYnQuirQ",250,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person test-drives their new car through the park at noon.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","A person test-drives their new car through the park at noon.",1,1,"core","e","e","yes",1,762,"","","","","congruent",""
"ZyEayYnQuirQ",252,"rules","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>An artist installs a race car in the park to honour local heroes.</b><br>","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","An artist installs a race car in the park to honour local heroes.",1,0,"over","e","i","no",0,4213,"","","","","incongruent",""
