"scen","rule","condition","question","character.count","text_violation","purpose_violation","conflict","prop_conflict"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A person jogs through the park to get some daily exercise.",58,0,0,0,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","An artist installs a race car in the park to honor local heroes.",64,1,0,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","A landscaper parks a truck in the park to remove a tree.",56,1,0,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","A man drives a tow-truck slowly into the park to remove a car.",62,1,0,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","A child drives a toy car in the park led by his mother. ",56,1,0,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","A stunt driver speeds around the park while it is closed off.",61,1,0,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A motorized hang glider lands on the park's main walkway.",57,0,1,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A person speeds through the park in their electric scooter.",59,0,1,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A team of skaters speed down the park hill on a busy day.",57,0,1,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A motorcycle courier takes a shortcut through the park.",55,0,1,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A group of friends cycle through the park on a beer bike.",57,0,1,1,"high"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A person test-drives their new car through the park at noon.",60,1,1,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A taxi driver takes a shortcut through the park to save time.",61,1,1,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A mailman drives back to the post office through the park. ",59,1,1,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A commuter drives through the park to avoid a traffic jam.",58,1,1,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A red party limo drives through the park at the DJ's request.",61,1,1,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A landscaper pushes a grey wheelbarrow through the park.",56,0,0,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A person jogs through the park to get some daily exercise.",58,0,0,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A couple walk their new baby through the park in a stroller.",60,0,0,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A barista walks around the park on her break and makes a call. ",63,0,0,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","off","A cyclist rides through the park to avoid the main road.",56,0,0,0,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","over","A child drives a toy car in the park led by his mother. ",56,1,0,1,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","under","A motorized hang glider lands on the park's main walkway.",57,0,1,1,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A customer hides his poodle by the restaurant piano and orders.",63,1,1,0,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","A customer brings a stack of used books into the restaurant.",60,0,0,0,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A woman brings an injured dog in the restaurant to seek help.",61,1,0,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A blind man brings his trained guide dog into the restaurant.",61,1,0,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A man carries an injured dog into the restaurant to ask for help.",65,1,0,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A veteran brings her trained therapy dog into the restaurant.",61,1,0,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A blind couple dine at the restaurant with their guide dog.",59,1,0,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","An artist brings his rowdy pet monkey into the restaurant.",58,0,1,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","A customer walks into the restaurant with a litter of kittens.",62,0,1,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","An animal scientist brings a misbehaved fox into the restaurant.",64,0,1,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","A customer enters the restaurant with a baby bat on her shoulder.",65,0,1,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","A customer walks into the restaurant with his talkative parrot.",63,0,1,1,"high"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A customer hides his poodle by the restaurant piano and orders.",63,1,1,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A couple bring their pet foxhound into the restaurant for dinner.",65,1,1,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A customer has lunch at the restaurant with his pet greyhound.",62,1,1,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A customer walks into the restaurant with a litter of puppies.",62,1,1,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","core","A customer brings her pet bulldog into the restaurant for lunch.",64,1,1,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","A carpenter brings his toolbox along to the restaurant at lunch.",64,0,0,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","A customer brings a stack of used books into the restaurant.",60,0,0,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","A customer walks into the restaurant with her foldable bike.",60,0,0,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","A customer has lunch at the restaurant with a real estate agent.",64,0,0,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","off","An animal scientist brings photos of wildlife into the restaurant.",66,0,0,0,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","over","A man carries an injured dog into the restaurant to ask for help.",65,1,0,1,"low"
"dogs","To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".","under","An artist brings his rowdy pet monkey into the restaurant.",58,0,1,1,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","One night two drunk motorbikers race each other on a dark backroad.",67,1,1,0,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A woman drives home after drinking soda at the movie theater.",61,0,0,0,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","An old lady eats a rum chocolate bar before she drives.",55,1,0,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","A person drives to work after using alcohol-based mouthwash.",60,1,0,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","A man drives home after eating risotto cooked in white wine.",60,1,0,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","A drunk man drives his wife to the hospital as she goes into labor.",67,1,0,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","A neighbor sips on wine and re-parks his car in the cul-de-sac.",63,1,0,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","A young man rides his motorcycle home after smoking marihuana.",62,0,1,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","One stormy night two sober motorbikers race each other on a dark road.",70,0,1,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","A woman drives home after taking ecstasy at a music festival. ",62,0,1,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","A man drives his car around after taking several sleeping pills.",64,0,1,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","A young woman goes for a drive while high on mushrooms.",55,0,1,1,"high"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","One night two drunk motorbikers race each other on a dark backroad.",67,1,1,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","A woman shares a bottle of vodka with her friends and drives home.",66,1,1,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","A woman drives home after drinking whiskey at the movie theater.",64,1,1,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","An old man drinks a bottle of prosecco wine and goes for a drive.",65,1,1,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","core","A young man drives home after drinking heavily at a music festival. ",68,1,1,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A woman has a can of coke zero while driving on the motorway.",61,0,0,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A sober man rides his motorcycle home after playing board games.",64,0,0,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A sober man re-parks his car in the cul-de-sac to let a guest out.",66,0,0,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A woman drives home after drinking soda at the movie theater.",61,0,0,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","off","A man drives home after having coffee with his co-workers.",58,0,0,0,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","over","A person drives to work after using alcohol-based mouthwash.",60,1,0,1,"low"
"drin","To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".","under","A young woman goes for a drive while high on mushrooms.",55,0,1,1,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student uses his phone to post pictures on Instagram.",55,1,1,0,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student uses her calculator to solve an equation in maths class.",66,0,0,0,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A student uses his phone to take notes about the lecture.",57,1,0,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A student uses her phone to call for help after the teacher fainted.",68,1,0,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A diabetic student gets an alert on her phone to take her insulin.",66,1,0,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A student uses his phone's calculator for the in-class assignment.",66,1,0,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A student uses her phone as a paperweight to keep papers together.",66,1,0,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student chats with his classmate instead of paying attention.",63,0,1,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student messages friends on his laptop and pays no attention.",63,0,1,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student plays on his tablet instead of paying attention in class.",67,0,1,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student falls asleep in class, hiding behind an open book.",60,0,1,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student reads news on her tablet and doesn't follow the lesson.",65,0,1,1,"high"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student uses his phone to post pictures on Instagram.",55,1,1,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student browses her phone instead of following her lesson.",60,1,1,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student texts friends on her phone and pays no attention.",59,1,1,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student sends texts from her phone and ignores the teacher.",61,1,1,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","core","A student plays a game on his phone instead of paying attention.",64,1,1,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student consults the textbook to answer a question in class.",62,0,0,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student uses her calculator to solve an equation in maths class.",66,0,0,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student arrives early to class and takes out her pencil case.",63,0,0,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student takes notes by hand to help her understand a lesson.",62,0,0,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","off","A student thinks hard about a problem discussed in class.",57,0,0,0,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","over","A student uses his phone to take notes about the lecture.",57,1,0,1,"low"
"phon","To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".","under","A student messages friends on his laptop and pays no attention.",63,0,1,1,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears muddy sneakers and dirties the carpets.",53,1,1,0,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest walks around barefoot and keeps the carpet clean.",57,0,0,0,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears new ballet shoes and the floors stay clean.",57,1,0,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears his new sneakers and the floor stays clean.",57,1,0,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears clean stilettos and keeps the carpet clean.",57,1,0,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears brand new boots and keeps the floor clean.",56,1,0,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears brand new shoes and keeps the floor clean.",56,1,0,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A guest walks in with muddy socks and dirties the floor.",56,0,1,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A guest walks in with wet socks and stains the carpet.",54,0,1,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A barefoot guest has a bleeding toe and stains the carpets.",59,0,1,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A guest walks around barefoot and dirties the carpets.",54,0,1,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A guest enters with muddy feet and gets the carpet dirty.",57,0,1,1,"high"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears muddy jogging shoes and carries dirt in.",54,1,1,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears stilettos and the carpets get pretty dirty.",57,1,1,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears dirty boots and ruins a white carpet.",51,1,1,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears muddy sneakers and dirties the carpets.",53,1,1,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","core","A guest wears wet deck shoes and dirties the floors.",52,1,1,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest wears socks made of wool and keeps the floor clean.",59,0,0,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest walks around barefoot and keeps the carpet clean.",57,0,0,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest walks around in socks and keeps the floor clean.",56,0,0,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest takes her shoes off and the floors stay clean.",54,0,0,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","off","A guest walks around barefoot and the floor stays clean.",56,0,0,0,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","over","A guest wears brand new boots and keeps the floor clean.",56,1,0,1,"low"
"shoe","To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".","under","A guest walks in with muddy socks and dirties the floor.",56,0,1,1,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A woman enters a wildlife reserve where she shoots two deer.",60,1,1,0,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A kid follows a deer through the forest to get a better look at it.",67,0,0,0,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A hiker shoots a dying deer that was crushed by a boulder.",58,1,0,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A hiker finds a dying deer and shoots it to relieve its pain.",61,1,0,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A farmer shoots a deer to end its suffering after it was run over.",66,1,0,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A vet shoots a deer with a disease that threatens the whole herd.",65,1,0,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A vet shoots a deer that is slowly dying after a bear attack.",61,1,0,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A man catches a deer using a trap and gives it a lethal injection.",66,0,1,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A woman sneaks up on a baby deer and strangles it to death.",59,0,1,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A farmer sprays poison in his woodland to kill the local deer.",62,0,1,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A man drives his truck into the forest and runs over several deer.",66,0,1,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A man catches and kills a lone baby deer with a hunting knife.",62,0,1,1,"high"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A man follows a deer through the forest at night and shoots it.",63,1,1,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A woman enters a wildlife reserve where she shoots two deer.",60,1,1,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A man heads deep into the local forest and shoots a deer.",57,1,1,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A woman sneaks up on a herd of deer and shoots them.",52,1,1,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","core","A hunter, armed with a rifle, fires on the first deer he sees.",62,1,1,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A woman observes several deer and records a video of them.",58,0,0,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A man heads deep into the local forest and sees several deer.",61,0,0,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A man takes a walk in the park and photographs the deer there.",62,0,0,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A kid follows a deer through the forest to get a better look at it.",67,0,0,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","off","A woman hikes in the woods carrying a flashlight and a lunch box.",65,0,0,0,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","over","A hiker finds a dying deer and shoots it to relieve its pain.",61,1,0,1,"low"
"shoo","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ","under","A farmer sprays poison in his woodland to kill the local deer.",62,0,1,1,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A homeless woman makes her bed on a station bench and falls asleep.",67,1,1,0,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A businesswoman enters the station and buys her train ticket.",61,0,0,0,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A shift worker briefly dozes on a bench waiting for her manager.",64,1,0,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A student falls asleep for three minutes while waiting for a train.",67,1,0,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A small child sleeps in her mother's arms on a station bench.",61,1,0,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A backpacker sits on a station bench and takes a five-minute nap.",65,1,0,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A commuter briefly falls asleep on a bench waiting for his train.",65,1,0,1,"high"
