"","subj_code","case","stimulus","text","purpose","trial_index","response","rt"
"18","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A vagrant spends the night sleeping on the station floor.</b><br>",0,1,46,1,2689
"19","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A businesswoman enters the station and buys her train ticket.</b><br>",0,0,48,1,1600
"20","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A shift worker briefly dozes on a bench waiting for her manager.</b><br>",1,0,50,0,1729
"21","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A nightclub dancer falls asleep on a station bench after work.</b><br>",1,1,52,0,4617
"22","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A backpacker sits on a station bench and takes a five-minute nap.</b><br>",1,0,54,0,2714
"23","JZDAcouq4J91","trainstation","To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A vagrant spends the night sleeping on a bench at the station.</b><br>",1,1,56,0,2473
"24","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around in socks and keeps the floor clean.</b><br>",0,0,60,1,2352
"25","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with muddy socks and dirties the carpet.</b><br>",0,1,62,0,2002
"26","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears stilettos and the carpets get pretty dirty.</b><br>",1,1,64,0,6526
"27","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and the floor stays clean.</b><br>",0,0,66,1,1981
"28","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears his new sneakers and the floor stays clean.</b><br>",1,0,68,0,2131
"29","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and dirties the carpets.</b><br>",0,1,70,1,2483
"30","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears clean stilettos and keeps the carpet clean.</b><br>",1,0,72,0,2685
"31","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears brand new shoes and keeps the floor clean.</b><br>",1,0,74,0,3531
"32","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and keeps the carpet clean.</b><br>",0,0,76,1,1673
"33","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A barefoot guest has a bleeding toe and stains the carpets.</b><br>",0,1,78,1,2122
"34","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears muddy sneakers and dirties the carpets.</b><br>",1,1,80,0,1594
"35","JZDAcouq4J91","shoes","To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears wet deck shoes and dirties the floors.</b><br>",1,1,82,0,4080
"36","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A vet shoots a deer with a disease that threatens the whole herd.</b><br>",1,0,86,0,3328
"37","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches and kills a lone baby deer with a hunting knife.</b><br>",0,1,88,1,3623
"38","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman hikes in the woods carrying a flashlight and a lunch box.</b><br>",0,0,90,1,3015
"39","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hiker finds a dying deer and shoots it to relieve its pain.</b><br>",1,0,92,0,2373
"40","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hunter, armed with a rifle, fires on the first deer he sees.</b><br>",1,1,94,0,2418
"41","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer sprays poison in his woodland to kill the local deer.</b><br>",0,1,96,1,3306
"42","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman enters a wildlife reserve where she shoots two deer.</b><br>",1,1,98,0,2002
"43","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man takes a walk in the park and photographs the deer there.</b><br>",0,0,100,1,3142
"44","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches a deer using a trap and gives it a lethal injection.</b><br>",0,1,102,0,2420
"45","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and shoots a deer.</b><br>",1,1,104,0,4849
"46","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer shoots a deer to end its suffering after it was run over.</b><br>",1,0,106,0,1475
"47","JZDAcouq4J91","deer","To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and sees several deer.</b><br>",0,0,108,1,4004
"48","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person speeds through the park on their electric scooter.</b><br>",0,1,112,1,3796
"49","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A taxi driver takes a shortcut through the park to save time.</b><br>",1,1,114,0,2310
"50","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A man drives a tow-truck slowly into the park to remove a car.</b><br>",1,0,116,0,2395
"51","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person test-drives their new car through the park at noon.</b><br>",1,1,118,0,5492
"52","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A motorcycle courier takes a shortcut through the park.</b><br>",0,1,120,1,2003
"53","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper parks a truck in the park to remove a tree.</b><br>",1,0,122,0,3062
"54","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A group of friends cycle through the park on a beer bike.</b><br>",0,1,124,1,2243
"55","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper pushes a grey wheelbarrow through the park.</b><br>",0,0,126,1,1912
"56","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>An artist installs a race car in the park to honour local heroes.</b><br>",1,0,128,0,3776
"57","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person jogs through the park to get some daily exercise.</b><br>",0,0,130,1,1633
"58","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A couple walk their new baby through the park in a stroller.</b><br>",0,0,132,1,1610
"59","JZDAcouq4J91","cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A red party limo drives through the park at the DJ's request.</b><br>",1,1,134,0,2844
"60","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking whiskey at the movie theater.</b><br>",1,1,138,0,2607
"61","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man re-parks his car in the cul-de-sac to let a guest out.</b><br>",0,0,140,1,5943
"62","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking soda at the movie theater.</b><br>",0,0,142,1,3079
"63","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after taking ecstasy at a music festival.</b><br>",0,1,144,1,2049
"64","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>One stormy night two sober motorbikers race each other on a dark backroad.</b><br>",0,1,146,1,3475
"65","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A young man drives home after drinking heavily at a music festival.</b><br>",1,1,148,0,4081
"66","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man rides his motorcycle home after playing board games.</b><br>",0,0,150,1,1415
"67","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>One night two drunk motorbikers race each other on a dark backroad.</b><br>",1,1,152,0,4852
"68","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A neighbor sips on wine and re-parks his car in the cul-de-sac.</b><br>",1,0,154,0,3457
"69","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A young man rides his motorcycle home after smoking marihuana.</b><br>",0,1,156,1,3828
"70","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A person drives to work after using alcohol-based mouthwash.</b><br>",1,0,158,0,5342
"71","JZDAcouq4J91","alcohol","To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A drunk man drives his wife to the hospital as she goes into labor.</b><br>",1,0,160,0,3182
"72","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays on his tablet instead of paying attention in class.</b><br>",0,1,164,1,2605
"73","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student messages friends on his laptop and pays no attention.</b><br>",0,1,166,1,4290
"74","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays a game on his phone instead of paying attention.</b><br>",1,1,168,0,1283
"75","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student browses her phone instead of following her lesson.</b><br>",1,1,170,0,1655
"76","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone's calculator for the in-class assignment.</b><br>",1,0,172,0,1339
"77","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student reads news on her tablet and doesn't follow the lesson.</b><br>",0,1,174,1,2330
"78","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses her phone as a paperweight to keep papers together.</b><br>",1,0,176,0,4526
"79","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student takes notes by hand to help her understand a lesson.</b><br>",0,0,178,1,3919
"80","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A diabetic student gets an alert on her phone to take her insulin.</b><br>",1,0,180,0,3226
"81","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student arrives early to class and takes out her pencil case.</b><br>",0,0,182,1,2769
"82","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student texts friends on her phone and pays no attention.</b><br>",1,1,184,0,3179
"83","JZDAcouq4J91","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student consults the textbook to answer a question in class.</b><br>",0,0,186,1,2484
"84","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab member spends the night sleeping on fragile lab equipment.</b><br>",0,1,190,1,3696
"85","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A scientist working at the laboratory starts a new experiment.</b><br>",0,0,192,1,3359
"86","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab scientist performs a risky task while feeling dizzy and tired.</b><br>",0,1,194,1,1608
"87","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A skilled technician enters the lab to discuss a job opening.</b><br>",1,0,196,0,5467
"88","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A student enters the laboratory to observe the scientists' work.</b><br>",1,1,198,0,1804
"89","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A retired scientist visits the lab to offer advice to new hirees.</b><br>",1,0,200,0,1858
"90","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>An amateur scientist enters the laboratory to take photographs.</b><br>",1,1,202,0,1764
"91","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A member of the public walks past the laboratory while going home.</b><br>",0,0,204,0,1016
"92","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A recently retired scientist returns to collect his briefcase.</b><br>",1,0,206,0,5817
"93","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A thief enters the laboratory overnight to find and steal equipment.</b><br>",1,1,208,0,2667
"94","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A tourist walks past the laboratory on his way to the wax museum.</b><br>",0,0,210,1,2290
"95","JZDAcouq4J91","lab","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab member stays after work and gets drunk in the laboratory.</b><br>",0,1,212,1,3070
"96","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his new pet parrot.</b><br>",0,1,216,1,4010
"97","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>Three colleagues have a meeting over dinner at the restaurant.</b><br>",0,0,218,1,1721
"98","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer uses the restaurant WC while waiting for her food.</b><br>",0,0,220,1,2704
"99","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A man carries an injured dog into the restaurant to call for help.</b><br>",1,0,222,0,1787
"100","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings her pet bulldog into the restaurant for lunch.</b><br>",1,1,224,0,1857
"101","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple bring their pet foxhound into the restaurant for dinner.</b><br>",1,1,226,1,1624
"102","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his pet greyhound.</b><br>",1,1,228,0,3681
"103","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A blind person brings his trained guide dog into the restaurant.</b><br>",1,0,230,0,2567
"104","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his pet monkey into the restaurant for lunch.</b><br>",0,1,232,1,1100
"105","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple have breakfast together at the restaurant before work.</b><br>",0,0,234,1,1775
"106","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A woman brings her trained therapy labrador into the restaurant.</b><br>",1,0,236,0,1899
"107","JZDAcouq4J91","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his new pet fox into the restaurant for lunch.</b><br>",0,1,238,1,2435
"108","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is knitting a scarf in his room at midnight.</b><br>",0,0,9,1,5020
"109","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student tests the maximum volume of her new TV at 11:30 pm.</b><br>",1,1,11,0,7414
"110","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student drills some holes into the wall to hang pictures at 11:15 pm.</b><br>",1,1,15,0,5119
"111","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student hosts a Karaoke night in her room at 11 pm.</b><br>",1,1,17,0,4287
"112","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is meditating in her room at 11:30 pm.</b><br>",0,0,19,1,5128
"113","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student listens to a podcast with headphones on at 11:30 pm.</b><br>",0,0,21,1,7569
"114","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is looking out the window at 11 pm.</b><br>",0,0,23,1,3394
"115","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student plays his electric guitar in his room at midnight.</b><br>",1,1,25,0,5355
"116","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student reads a novel in bed at 10 pm.</b><br>",0,0,27,1,3069
"117","4k5bRmmdq8Pz","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>Some students have a loud argument in the hallway at 11 pm.</b><br>",1,1,29,0,5440
"118","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his new pet fox into the restaurant for lunch.</b><br>",0,1,34,0,7840
"119","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings her pet bulldog into the restaurant for lunch.</b><br>",1,1,36,0,7675
"120","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his pet monkey into the restaurant for lunch.</b><br>",0,1,38,0,7907
"121","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer uses the restaurant WC while waiting for her food.</b><br>",0,0,42,1,7491
"122","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple have breakfast together at the restaurant before work.</b><br>",0,0,44,1,4282
"123","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>Three colleagues have a meeting over dinner at the restaurant.</b><br>",0,0,46,1,4575
"124","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A woman brings her trained therapy labrador into the restaurant.</b><br>",1,0,48,1,7015
"125","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A blind person brings his trained guide dog into the restaurant.</b><br>",1,0,50,1,7449
"126","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his pet greyhound.</b><br>",1,1,52,0,2336
"127","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple bring their pet foxhound into the restaurant for dinner.</b><br>",1,1,54,0,4861
"128","4k5bRmmdq8Pz","restaurant","A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his new pet parrot.</b><br>",0,1,56,0,2616
"129","4k5bRmmdq8Pz","phones","To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone's calculator for the in-class assignment.</b><br>",1,0,60,0,7589
