"subj_code","theory_question_binary","theory_question_bipolar","theory_question_bipolar_num"
"PgMpj3cZJOnV","letter","mostly letter","1"
"3fJa8v6innga","spirit","more spirit than letter","4"
"z7cHkYlm8U2Y","spirit","mostly spirit","5"
"g4kbzyxNThWX","letter","more letter than spirit","2"
"InFhLA2KiWoc","letter","more spirit than letter","4"
"yzUqxGvYyg55","spirit","mostly spirit","5"
"ghjkywTlFHO7","spirit","more letter than spirit","2"
"IYn6e3EvQMZH","spirit","more letter than spirit","2"
"oi0p9Pof7j6K","letter","more letter than spirit","2"
"rCh6YAhFCD0M","letter","mostly letter","1"
"SBaAFSKoP93Q","letter","only letter","0"
"Fs7pwPNARq88","letter","mostly letter","1"
"SHDA7qYmICei","spirit","both equally","3"
"ZYLNbj2y9IH3","letter","mostly letter","1"
"s3dfXEkl8Bng","spirit","more spirit than letter","4"
"zjFp77bwJ1vt","letter","mostly letter","1"
"56gOuNUNKw0R","letter","only letter","0"
"Aszf5eWnqYyS","spirit","both equally","3"
"VeJkjsq2w32d","spirit","both equally","3"
"wt59hMsjZNGI","spirit","mostly spirit","5"
"PJlCUQdGkjrg","letter","only letter","0"
"KrL290dKJEcg","letter","only letter","0"
"wMVAEplzdQTP","letter","more letter than spirit","2"
"aWNusznQFVmT","letter","only letter","0"
"Bow3oDyo1ze1","letter","both equally","3"
"jSp79ydaSHxs","letter","more letter than spirit","2"
"oDo6YkHxGmjP","letter","mostly letter","1"
"zcVs08nOJJkd","letter","mostly letter","1"
"m4vRrjgh4nCU","letter","mostly letter","1"
"x90WakCLHiWm","spirit","both equally","3"
"G6hrcfJDdzzz","letter","more spirit than letter","4"
"eDeInvp3MHgO","letter","more letter than spirit","2"
"x89UebKQqRhF","letter","more letter than spirit","2"
"rUPaNLq750dd","letter","mostly letter","1"
"VcoaIJkorQBm","letter","only letter","0"
"7rEwK0Ayyifj","spirit","mostly letter","1"
"bVcpsjQimbHq","spirit","more spirit than letter","4"
"kmpeZyy9Nfpa","letter","both equally","3"
"7e4Ved4snrqu","spirit","both equally","3"
"JXBgGp9tCcBL","spirit","mostly spirit","5"
"p4T4CurMyDYz","letter","both equally","3"
"A2U0lBwXgdke","letter","only letter","0"
"rHLSygoswbgV","letter","both equally","3"
"vLDpBNsolzCR","spirit","more spirit than letter","4"
"k3ZOYzsDzgTA","spirit","more spirit than letter","4"
"aOCEDdTgDCfE","letter","both equally","3"
"AXE6RepseWoZ","spirit","mostly letter","1"
"ciu9VCre2EuL","letter","only letter","0"
"OTdEWZFVz1QJ","spirit","both equally","3"
"1JsE3vZYJ1kg","letter","more letter than spirit","2"
"NsS8KDouaEdL","spirit","only letter","0"
"RSXhywDXwo1T","letter","mostly letter","1"
"kBNA88FPKU35","letter","mostly letter","1"
"ySEJp35oKeI1","letter","mostly letter","1"
"JxQEy23TMfd6","letter","more letter than spirit","2"
"rL6qqYSgPytq","letter","mostly letter","1"
"ehLl9aghvveh","letter","mostly letter","1"
"Gq5bkTKYrvrh","spirit","both equally","3"
"Q3BORaFbsiM4","letter","more letter than spirit","2"
"S6toRa4AQvtk","letter","more letter than spirit","2"
"q9edbqM25EeQ","letter","more letter than spirit","2"
"qw3jlxzTMjMG","letter","mostly letter","1"
"ShnSELTg2J8P","letter","more spirit than letter","4"
"dd7CuZO8UIxg","letter","both equally","3"
"NPmoqg5Etl4U","letter","mostly spirit","5"
"F4tfLmjtRVyH","spirit","both equally","3"
"waM9cFlFqBy1","letter","mostly letter","1"
"NS1naWT6nlOk","letter","more letter than spirit","2"
"zWlomtR1JXXK","spirit","more spirit than letter","4"
"snBQwP49IP4T","letter","mostly letter","1"
"RvZ6pPZWpwBr","letter","mostly letter","1"
"okP3XqEil2JX","letter","mostly letter","1"
"ycXRu0H8U30S","letter","both equally","3"
"wZLHENL1u8Pp","spirit","more spirit than letter","4"
"8DasdvscOnZH","spirit","mostly letter","1"
"JJlSQ0unAA12","letter","more letter than spirit","2"
"WNf4UfxzTrx3","letter","only letter","0"
"tmSqI7GBOgNw","spirit","more letter than spirit","2"
"LxO3sXs6w1cD","spirit","mostly spirit","5"
"q7Enzo5xhVnw","spirit","more spirit than letter","4"
"dWhzBOAiAILA","letter","only letter","0"
"RZiYIoGOGrsp","letter","both equally","3"
"LwJijKAO5SL3","spirit","more spirit than letter","4"
"ZrEF29W8346p","letter","only letter","0"
"GKGKvuCZYbEd","spirit","more spirit than letter","4"
"ESRIcpEs3LNC","spirit","both equally","3"
"m1LUUKvNSXP2","letter","mostly spirit","5"
"SOjVPjHj1792","spirit","more letter than spirit","2"
"eZ0ijJyWutYM","spirit","more spirit than letter","4"
"Ko4nOvsrx7vZ","spirit","mostly spirit","5"
"a0MjsXf6SypD","letter","both equally","3"
"2tBQSrGCwDcA","spirit","only letter","0"
"8uRscyMhi15C","spirit","mostly letter","1"
"AIRwviQRlBm7","letter","more letter than spirit","2"
"ahwNAgi4MqFJ","letter","both equally","3"
"fFwV6rxhs9MM","spirit","more letter than spirit","2"
"PVmhIAirN5dZ","letter","mostly letter","1"
"0dKLhxO7HLIg","spirit","more letter than spirit","2"
"7VFalRgg47wt","spirit","mostly letter","1"
"YQmHwnaGslEc","letter","mostly letter","1"
"MRNxFAYVPWNb","spirit","both equally","3"
"b4LSaAgkBnpe","letter","mostly letter","1"
"z2NouFWkFcYT","letter","more letter than spirit","2"
"7LbA6u1O0epF","spirit","more spirit than letter","4"
"T1B4kprlpwjX","letter","only letter","0"
"CrA5Y6zHDr6q","spirit","more spirit than letter","4"
"iKcdKm3ERLMI","letter","mostly letter","1"
"cJqlDzjwWBTL","letter","mostly letter","1"
"BU1wSaAsbGKN","spirit","mostly spirit","5"
"UE3FTa1HFzma","spirit","only spirit","6"
"cJNpkwdTrvak","spirit","only spirit","6"
"blC1BDMbpL5o","spirit","both equally","3"
"PtTOUtrDETU2","letter","more letter than spirit","2"
"wSeuRoknC8ch","letter","both equally","3"
"q6VE9FnT5B6N","letter","mostly letter","1"
"L5ggKwLYjb68","letter","more letter than spirit","2"
"wQRu7JATRJNx","spirit","more letter than spirit","2"
"XSEZzEWYGJLk","letter","only letter","0"
"O9iyhPSC9UNG","spirit","more spirit than letter","4"
"Fwfs9BV0abtE","letter","more letter than spirit","2"
"MnIS8Nv86rDH","letter","more letter than spirit","2"
"vFxayV5FCsej","spirit","more spirit than letter","4"
"mdeNJ7xMfrtV","spirit","more letter than spirit","2"
"N8o9oodQVQ7A","spirit","more spirit than letter","4"
"JKMipX17K1CX","letter","both equally","3"
"V2iKbZ6ab2i3","spirit","more spirit than letter","4"
"whxHkWRSKuWz","letter","mostly letter","1"
"3cYeSy6nNKsy","letter","only letter","0"
"8CAxvXCwUa0U","letter","more letter than spirit","2"
"hhL5fV0jIerQ","spirit","both equally","3"
"zXOGiLFfyJhz","letter","mostly letter","1"
"CfI5LUIFPlL9","spirit","mostly letter","1"
"XtSiq5WNszaF","spirit","mostly spirit","5"
"xOa6wldDsMpL","spirit","more spirit than letter","4"
"lSeJlQU3GsUD","letter","only letter","0"
"RwiohLnng3gZ","letter","only letter","0"
"fsGKMy40y93K","spirit","both equally","3"
"jhGoNc3Dxghs","letter","only letter","0"
"ns4mggEJcMAP","letter","only spirit","6"
"IUWLcNq4PnUr","spirit","more spirit than letter","4"
"kVGEZeFUoyt0","spirit","mostly spirit","5"
"kVfYHgFjHAdv","letter","mostly letter","1"
"rJU1MrXxVNYd","letter","mostly letter","1"
"7sXTPcPWjufy","letter","mostly letter","1"
"Iwc7R0DoFiRY","spirit","only letter","0"
"fAVwm602ATlG","letter","more letter than spirit","2"
"Gu68QshNIzdr","letter","both equally","3"
"38ONICwnh7l6","spirit","both equally","3"
"DN0VVtDWo5ah","spirit","mostly spirit","5"
"mJ1uQ3n1X6Y2","spirit","more spirit than letter","4"
"lcFYZ5nyIouL","spirit","more spirit than letter","4"
"o09Qj5q3xjep","letter","mostly letter","1"
"LU5nXtNTMzuq","spirit","only letter","0"
"wYBTP91YDGzz","letter","mostly letter","1"
"g6QCfVuwdw9I","letter","mostly letter","1"
"a4RKR9VvEmXm","spirit","more spirit than letter","4"
"FE3j4wjeKx4O","letter","only letter","0"
"NPJheUUMXvzs","spirit","both equally","3"
"LXiIOpiMAP7t","letter","mostly letter","1"
"H2RmQueYzr0z","spirit","both equally","3"
"eDGfd0Tce4aK","letter","mostly letter","1"
"tLbVjmvkydgx","spirit","both equally","3"
"PXznOFOu2RqU","spirit","both equally","3"
"7ZeGsOE1Hty7","letter","mostly letter","1"
"CziTUrZ6cytl","letter","mostly letter","1"
"N4AqZkEf0lT5","letter","more letter than spirit","2"
"Gn7u9w5RW3vb","letter","mostly letter","1"
"nBbBRK38AL1I","letter","more letter than spirit","2"
"CKDDuPrt5Xtc","letter","both equally","3"
"C62uyBMuHrQo","spirit","mostly spirit","5"
"WzVA2Wc7wGGn","letter","mostly letter","1"
"gs29gn7YHCew","spirit","more spirit than letter","4"
"f47KaAafvjHZ","letter","mostly spirit","5"
"OXBwarPaSymg","letter","more letter than spirit","2"
"HNkSJFhMpUya","letter","only letter","0"
"5vGB7dZY7ce5","letter","more letter than spirit","2"
"5Zps5FCzl3sL","spirit","mostly spirit","5"
"svthPfwfsHof","spirit","both equally","3"
"RNdYz9kUQ2pD","spirit","mostly spirit","5"
"l9rISdQry87Y","letter","more letter than spirit","2"
"9mAkYOvxXM4A","spirit","more spirit than letter","4"
"SqjOkcGTLT8S","letter","both equally","3"
"dMIIaYK8fYRA","spirit","only letter","0"
"Y7pZlmLimawW","spirit","more spirit than letter","4"
"RC2p7cHi0sPM","letter","more letter than spirit","2"
"eI61TIDThu1I","letter","more letter than spirit","2"
"7LRvR70mD9R0","spirit","only letter","0"
"Mgt6phKwTSCZ","letter","more spirit than letter","4"
