scen;rule;question;text;purpose;conflict;type
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A group of friends cycle through the park on a beer bike.;0;1;1;under
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A person test-drives their new car through the park at noon.;1;1;0;core
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A taxi driver takes a shortcut through the park to save time.;1;1;0;core
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A mailman drives back to the post office through the park.;1;1;0;core
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A commuter drives through the park to avoid a traffic jam.;1;1;0;core
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A landscaper pushes a grey wheelbarrow through the park.;0;0;0;off
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A couple walk their new baby through the park in a stroller.;0;0;0;off
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A barista walks around the park on her break and makes a call.;0;0;0;off
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A cyclist rides through the park to avoid the main road.;0;0;0;off
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer hides his poodle by the restaurant piano and orders.;1;1;0;core
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer brings a stack of used books into the restaurant.;0;0;0;off
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A woman brings an injured dog in the restaurant to seek help.;1;0;1;over
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A blind man brings his trained guide dog into the restaurant.;1;0;1;over
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A man carries an injured dog into the restaurant to ask for help.;1;0;1;over
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A veteran brings her trained therapy dog into the restaurant.;1;0;1;over
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A blind couple dine at the restaurant with their guide dog.;1;0;1;over
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";An artist brings his rowdy pet monkey into the restaurant.;0;1;1;under
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer walks into the restaurant with a litter of kittens.;0;1;1;under
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";An animal scientist brings a misbehaved fox into the restaurant.;0;1;1;under
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer enters the restaurant with a baby bat on her shoulder.;0;1;1;under
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer walks into the restaurant with his talkative parrot.;0;1;1;under
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A couple bring their pet foxhound into the restaurant for dinner.;1;1;0;core
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer has lunch at the restaurant with his pet greyhound.;1;1;0;core
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer walks into the restaurant with a litter of puppies.;1;1;0;core
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer brings her pet bulldog into the restaurant for lunch.;1;1;0;core
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A carpenter brings his toolbox along to the restaurant at lunch.;0;0;0;off
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer walks into the restaurant with her foldable bike.;0;0;0;off
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";A customer has lunch at the restaurant with a real estate agent.;0;0;0;off
dogs;"To ensure that customers are not disturbed during their meals, the restaurant owner posted a rule: ""No dogs allowed in the restaurant"".";An animal scientist brings photos of wildlife into the restaurant.;0;0;0;off
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";One night two drunk motorbikers race each other on a dark backroad.;1;1;0;core
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A woman drives home after drinking soda at the movie theater.;0;0;0;off
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";An old lady eats a rum chocolate bar before she drives.;1;0;1;over
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A person drives to work after using alcohol-based mouthwash.;1;0;1;over
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A man drives home after eating risotto cooked in white wine.;1;0;1;over
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A drunk man drives his wife to the hospital as she goes into labor.;1;0;1;over
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A neighbor sips on wine and re-parks his car in the cul-de-sac.;1;0;1;over
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A young man rides his motorcycle home after smoking marihuana.;0;1;1;under
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";One stormy night two sober motorbikers race each other on a dark road.;0;1;1;under
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A woman drives home after taking ecstasy at a music festival.;0;1;1;under
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A man drives his car around after taking several sleeping pills.;0;1;1;under
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A young woman goes for a drive while high on mushrooms.;0;1;1;under
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A woman shares a bottle of vodka with her friends and drives home.;1;1;0;core
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A woman drives home after drinking whiskey at the movie theater.;1;1;0;core
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";An old man drinks a bottle of prosecco wine and goes for a drive.;1;1;0;core
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A young man drives home after drinking heavily at a music festival. ;1;1;0;core
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A woman has a can of coke zero while driving on the motorway.;0;0;0;off
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A sober man rides his motorcycle home after playing board games.;0;0;0;off
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A sober man re-parks his car in the cul-de-sac to let a guest out.;0;0;0;off
drin;"To reduce traffic accidents, a zero tolerance law is passed: ""Driving with any trace of alcohol is strictly forbidden"".";A man drives home after having coffee with his co-workers.;0;0;0;off
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses his phone to post pictures on Instagram.;1;1;0;core
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses her calculator to solve an equation in maths class.;0;0;0;off
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses his phone to take notes about the lecture.;1;0;1;over
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses her phone to call for help after the teacher fainted.;1;0;1;over
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A diabetic student gets an alert on her phone to take her insulin.;1;0;1;over
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses his phone's calculator for the in-class assignment.;1;0;1;over
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student uses her phone as a paperweight to keep papers together.;1;0;1;over
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student chats with his classmate instead of paying attention.;0;1;1;under
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student messages friends on his laptop and pays no attention.;0;1;1;under
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student plays on his tablet instead of paying attention in class.;0;1;1;under
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student falls asleep in class, hiding behind an open book.;0;1;1;under
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student reads news on her tablet and doesn't follow the lesson.;0;1;1;under
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student browses her phone instead of following her lesson.;1;1;0;core
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student texts friends on her phone and pays no attention.;1;1;0;core
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student sends texts from her phone and ignores the teacher.;1;1;0;core
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student plays a game on his phone instead of paying attention.;1;1;0;core
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student consults the textbook to answer a question in class.;0;0;0;off
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student arrives early to class and takes out her pencil case.;0;0;0;off
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student takes notes by hand to help her understand a lesson.;0;0;0;off
phon;"To get students to pay attention in class, the headmaster announced: ""Phones may not be used in the classroom"".";A student thinks hard about a problem discussed in class.;0;0;0;off
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears muddy sneakers and dirties the carpets.;1;1;0;core
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks around barefoot and keeps the carpet clean.;0;0;0;off
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears new ballet shoes and the floors stay clean.;1;0;1;over
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears his new sneakers and the floor stays clean.;1;0;1;over
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears clean stilettos and keeps the carpet clean.;1;0;1;over
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears brand new boots and keeps the floor clean.;1;0;1;over
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears brand new shoes and keeps the floor clean.;1;0;1;over
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks in with muddy socks and dirties the floor.;0;1;1;under
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks in with wet socks and stains the carpet.;0;1;1;under
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A barefoot guest has a bleeding toe and stains the carpets.;0;1;1;under
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks around barefoot and dirties the carpets.;0;1;1;under
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest enters with muddy feet and gets the carpet dirty.;0;1;1;under
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears muddy jogging shoes and carries dirt in.;1;1;0;core
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears stilettos and the carpets get pretty dirty.;1;1;0;core
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears dirty boots and ruins a white carpet.;1;1;0;core
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears wet deck shoes and dirties the floors.;1;1;0;core
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest wears socks made of wool and keeps the floor clean.;0;0;0;off
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks around in socks and keeps the floor clean.;0;0;0;off
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest takes her shoes off and the floors stay clean.;0;0;0;off
shoe;"To keep her house clean, Mary established the rule: ""No one may wear shoes in the house"".";A guest walks around barefoot and the floor stays clean.;0;0;0;off
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A woman enters a wildlife reserve where she shoots two deer.;1;1;0;core
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A kid follows a deer through the forest to get a better look at it.;0;0;0;off
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A hiker shoots a dying deer that was crushed by a boulder.;1;0;1;over
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A hiker finds a dying deer and shoots it to relieve its pain.;1;0;1;over
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A farmer shoots a deer to end its suffering after it was run over.;1;0;1;over
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A vet shoots a deer with a disease that threatens the whole herd.;1;0;1;over
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A vet shoots a deer that is slowly dying after a bear attack.;1;0;1;over
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man catches a deer using a trap and gives it a lethal injection.;0;1;1;under
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A woman sneaks up on a baby deer and strangles it to death.;0;1;1;under
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A farmer sprays poison in his woodland to kill the local deer.;0;1;1;under
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man drives his truck into the forest and runs over several deer.;0;1;1;under
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man catches and kills a lone baby deer with a hunting knife.;0;1;1;under
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man follows a deer through the forest at night and shoots it.;1;1;0;core
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man heads deep into the local forest and shoots a deer.;1;1;0;core
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A woman sneaks up on a herd of deer and shoots them.;1;1;0;core
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A hunter, armed with a rifle, fires on the first deer he sees.;1;1;0;core
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A woman observes several deer and records a video of them.;0;0;0;off
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man heads deep into the local forest and sees several deer.;0;0;0;off
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A man takes a walk in the park and photographs the deer there.;0;0;0;off
shoo;"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer"". ";A woman hikes in the woods carrying a flashlight and a lunch box.;0;0;0;off
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A homeless woman makes her bed on a station bench and falls asleep.;1;1;0;core
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A businesswoman enters the station and buys her train ticket.;0;0;0;off
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A shift worker briefly dozes on a bench waiting for her manager.;1;0;1;over
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A student falls asleep for three minutes while waiting for a train.;1;0;1;over
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A small child sleeps in her mother's arms on a station bench.;1;0;1;over
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A backpacker sits on a station bench and takes a five-minute nap.;1;0;1;over
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A commuter briefly falls asleep on a bench waiting for his train.;1;0;1;over
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";Two friends drink wine sitting on a station bench the entire night.;0;1;1;under
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A vagrant spends the night sleeping on the station floor.;0;1;1;under
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A vagrant spends the whole night on a bench but does not sleep.;0;1;1;under
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A backpacker spends the night sleeping behind a station bench.;0;1;1;under
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A homeless woman spends the whole night walking around the station.;0;1;1;under
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A drunk man sleeps on a station bench after missing the last train.;1;1;0;core
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A backpacker spends the night sleeping on a station bench.;1;1;0;core
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A nightclub dancer falls asleep on a station bench after work.;1;1;0;core
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A vagrant spends the night sleeping on a bench at the station.;1;1;0;core
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A commuter sits on a station bench while waiting for her train.;0;0;0;off
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A backpacker looks for her lost phone on the station platform.;0;0;0;off
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A woman studies the timetable to plan her weekend get-away.;0;0;0;off
slee;"To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".";A student reads a book while waiting for the train to school.;0;0;0;off
