stimulus,case,rule,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears socks made of wool and keeps the floor clean.</b><br>",c,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and dirties the carpets.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears brand new boots and keeps the floor clean.</b><br>",o,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears clean stilettos and keeps the carpet clean.</b><br>",o,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears his new sneakers and the floor stays clean.</b><br>",o,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears brand new shoes and keeps the floor clean.</b><br>",o,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears new ballet shoes and the floors stay clean.</b><br>",o,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with muddy socks and dirties the floor.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A barefoot guest has a bleeding toe and stains the carpets.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with muddy socks and dirties the carpet.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with wet socks and stains the carpet.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest enters with muddy feet and gets the carpet dirty.</b><br>",u,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears stilettos and the carpets get pretty dirty.</b><br>",v,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears wet deck shoes and dirties the floors.</b><br>",v,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears dirty boots and ruins a white carpet.</b><br>",v,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears muddy sneakers and dirties the carpets.</b><br>",v,shoes,,,,,
"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears muddy jogging shoes and carries dirt in.</b><br>",v,shoes,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student consults the textbook to answer a question in class.</b><br>",c,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student arrives early to class and takes out her pencil case.</b><br>",c,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student takes notes by hand to help her understand a lesson.</b><br>",c,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses her calculator to solve an equation in maths class.</b><br>",c,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student thinks hard about a problem discussed in class.</b><br>",c,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A diabetic student gets an alert on her phone to take her insulin.</b><br>",o,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone's calculator for the in-class assignment.</b><br>",o,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses her phone as a paperweight to keep papers together.</b><br>",o,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone to take notes about the lecture.</b><br>",o,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses her phone to call for help after the teacher fainted.</b><br>",o,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student reads news on her tablet and doesn't follow the lesson.</b><br>",u,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays on his tablet instead of paying attention in class.</b><br>",u,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student chats with his classmate instead of paying attention.</b><br>",u,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b> A student reads news on her tablet and doesn't follow the lesson.</b><br>",u,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student falls asleep in class, hiding behind an open book.</b><br>",u,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays a game on his phone instead of paying attention.</b><br>",v,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student messages friends on his laptop and pays no attention.</b><br>",v,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student browses her phone instead of following her lesson.</b><br>",v,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student texts friends on her phone and pays no attention.</b><br>",v,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone to post pictures on Instagram.</b><br>",v,phones,,,,,
"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student sends texts from her phone and ignores the teacher.</b><br>",v,phones,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer uses the restaurant WC while waiting for her food.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>Three colleagues have a meeting over dinner at the restaurant.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple have breakfast together at the restaurant before work.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings a stack of used books into the restaurant.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer has lunch at the restaurant with a real estate agent.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A carpenter brings his toolbox along to the restaurant at lunch.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with her foldable bike.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>An animal scientist brings photos of wildlife into the restaurant.</b><br>",c,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A blind person brings his trained guide dog into the restaurant.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A man carries an injured dog into the restaurant to call for help.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A woman brings her trained therapy labrador into the restaurant.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A blind man brings his trained guide dog into the restaurant.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A man carries an injured dog into the restaurant to ask for help.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A blind couple dine at the restaurant with their guide dog.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A woman brings an injured dog in the restaurant to seek help.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A veteran brings her trained therapy dog into the restaurant.</b><br>",o,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his new pet fox into the restaurant for lunch.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his new pet parrot.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings his pet monkey into the restaurant for lunch.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with a litter of kittens.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer enters the restaurant with a baby bat on her shoulder.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>An animal scientist brings a misbehaved fox into the restaurant.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his talkative parrot.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>An artist brings his rowdy pet monkey into the restaurant.</b><br>",u,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with his pet greyhound.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple bring their pet foxhound into the restaurant for dinner.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                               To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings her pet bulldog into the restaurant for lunch.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer hides his poodle by the restaurant piano and orders.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer walks into the restaurant with a litter of puppies.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer has lunch at the restaurant with his pet greyhound.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A customer brings her pet bulldog into the restaurant for lunch.</b><br>",v,dogs,,,,,
"A  restaurant's customers had their meals interrupted by the misbehaviour of a diner's pet dog.<br>
                     To address these concerns, the owner posted a rule: ""No dogs allowed in the restaurant""<br><br><br><b>A couple bring their pet foxhound into the restaurant for dinner.</b><br>",v,dogs,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman hikes in the woods carrying a flashlight and a lunch box.</b><br>",c,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and sees several deer.</b><br>",c,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man takes a walk in the park and photographs the deer there.</b><br>",c,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A kid follows a deer through the forest to get a better look at it.</b><br>",c,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman observes several deer and records a video of them.</b><br>",c,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A vet shoots a deer with a disease that threatens the whole herd.</b><br>",o,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer shoots a deer to end its suffering after it was run over.</b><br>",o,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hiker finds a dying deer and shoots it to relieve its pain.</b><br>",o,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hiker shoots a dying deer that was crushed by a boulder.</b><br>",o,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A vet shoots a deer that is slowly dying after a bear attack.</b><br>",o,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer sprays poison in his woodland to kill the local deer.</b><br>",u,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches and kills a lone baby deer with a hunting knife.</b><br>",u,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches a deer using a trap and gives it a lethal injection.</b><br>",u,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man drives his truck into the forest and runs over several deer.</b><br>",u,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman sneaks up on a baby deer and strangles it to death.</b><br>",u,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman enters a wildlife reserve where she shoots two deer.</b><br>",v,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and shoots a deer.</b><br>",v,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hunter, armed with a rifle, fires on the first deer he sees.</b><br>",v,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman sneaks up on a herd of deer and shoots them.</b><br>",v,deer,,,,,
"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man follows a deer through the forest at night and shoots it.</b><br>",v,deer,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A couple walk their new baby through the park in a stroller.</b><br>",c,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper pushes a grey wheelbarrow through the park.</b><br>",c,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person jogs through the park to get some daily exercise.</b><br>",c,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A cyclist rides through the park to avoid the main road.</b><br>",c,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A barista walks around the park on her break and makes a call.</b><br>",c,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A man drives a tow-truck slowly into the park to remove a car.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>An artist installs a race car in the park to honour local heroes.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper parks a truck in the park to remove a tree.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A child drives a toy car in the park led by his mother.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>An artist installs a race car in the park to honor local heroes.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A stunt driver speeds around the park while it is closed off.</b><br>",o,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A group of friends cycle through the park on a beer bike.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person speeds through the park on their electric scooter.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A motorcycle courier takes a shortcut through the park.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A motorized hang glider lands on the park's main walkway.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person speeds through the park in their electric scooter.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A team of skaters speed down the park hill on a busy day.</b><br>",u,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A taxi driver takes a shortcut through the park to save time.</b><br>",v,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A red party limo drives through the park at the DJ's request.</b><br>",v,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person test-drives their new car through the park at noon.</b><br>",v,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A commuter drives through the park to avoid a traffic jam.</b><br>",v,cars,,,,,
"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A mailman drives back to the post office through the park.</b><br>",v,cars,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking soda at the movie theater.</b><br>",c,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man rides his motorcycle home after playing board games.</b><br>",c,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man re-parks his car in the cul-de-sac to let a guest out.</b><br>",c,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman has a can of coke zero while driving on the motorway.</b><br>",c,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A man drives home after having coffee with his co-workers.</b><br>",c,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A person drives to work after using alcohol-based mouthwash.</b><br>",o,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A neighbor sips on wine and re-parks his car in the cul-de-sac.</b><br>",o,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A drunk man drives his wife to the hospital as she goes into labor.</b><br>",o,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A man drives home after eating risotto cooked in white wine.</b><br>",o,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>An old lady eats a rum chocolate bar before she drives.</b><br>",o,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A young man rides his motorcycle home after smoking marihuana.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after taking ecstasy at a music festival.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>One stormy night two sober motorbikers race each other on a dark backroad.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A young woman goes for a drive while high on mushrooms.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A man drives his car around after taking several sleeping pills.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>One stormy night two sober motorbikers race each other on a dark road.</b><br>",u,alcohol,,,,,
"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking whiskey at the movie theater.</b><br>",v,alcohol,,,,,
