"subj_code","theory_question_binary","theory_question_bipolar","theory_question_bipolar_num"
"oyToF3dhhCVg","spirit","mostly spirit","5"
"JF9eItNU43E0","letter","more letter than spirit","2"
"Bb0yFc1ggK0O","letter","mostly letter","1"
"1NbfMlqooGBW","spirit","both equally","3"
"YzQmTaHq8JaU","letter","only letter","0"
"NHGg332zi4VF","letter","mostly letter","1"
"dG0BYgBGiDrT","spirit","more spirit than letter","4"
"vtEGuUO9RycR","letter","mostly letter","1"
"HQgkWDs9WxAD","spirit","mostly spirit","5"
"DUi02n8nDsx7","spirit",NA,NA
"YGlSpUkqDHx2","letter","mostly letter","1"
"8HNyMuw4lrEO","spirit","both equally","3"
"DbFQ7WRQq9Mc","letter","mostly letter","1"
"pU79QBj3tyfa","spirit","only spirit","6"
